Strategy,Event Date,Auction Series,Series,Entry Date,Exit Date,Entry Close,Exit Close,Return (%),Basket Avg Return (%),Rate (%),Forecast (%),Previous (%)
A_Auctions,2026-02-11,26249,26244,2026-02-09,2026-02-18,84.71,86.983,2.683272340927889,2.9700450904373046,,,
A_Auctions,2026-02-11,26249,26245,2026-02-09,2026-02-18,86.693,89.05,2.718789290946222,2.9700450904373046,,,
A_Auctions,2026-02-11,26249,26249,2026-02-09,2026-02-18,85.53,87.497,2.2997778557231285,2.9700450904373046,,,
A_Auctions,2026-02-18,26254,26230,2026-02-16,2026-02-26,63.855,63.55,-0.4776446636911791,-0.3773359651306892,,,
A_Auctions,2026-02-18,26254,26238,2026-02-16,2026-02-26,59.93,59.61,-0.5339562823293842,-0.3773359651306892,,,
A_Auctions,2026-02-18,26254,26240,2026-02-16,2026-02-26,62.864,62.65,-0.3404174090099188,-0.3773359651306892,,,
A_Auctions,2026-02-18,26254,26244,2026-02-16,2026-02-26,86.473,85.809,-0.7678697396875322,-0.3773359651306892,,,
A_Auctions,2026-02-18,26254,26245,2026-02-16,2026-02-26,88.272,88.398,0.14274061990211528,-0.3773359651306892,,,
A_Auctions,2026-02-18,26254,26249,2026-02-16,2026-02-26,87.148,86.898,-0.28686831596823614,-0.3773359651306892,,,
A_Auctions,2026-02-18,26245,26230,2026-02-16,2026-02-26,63.855,63.55,-0.4776446636911791,-0.3773359651306892,,,
A_Auctions,2026-02-18,26245,26238,2026-02-16,2026-02-26,59.93,59.61,-0.5339562823293842,-0.3773359651306892,,,
A_Auctions,2026-02-18,26245,26240,2026-02-16,2026-02-26,62.864,62.65,-0.3404174090099188,-0.3773359651306892,,,
A_Auctions,2026-02-18,26245,26244,2026-02-16,2026-02-26,86.473,85.809,-0.7678697396875322,-0.3773359651306892,,,
A_Auctions,2026-02-18,26245,26245,2026-02-16,2026-02-26,88.272,88.398,0.14274061990211528,-0.3773359651306892,,,
A_Auctions,2026-02-18,26245,26249,2026-02-16,2026-02-26,87.148,86.898,-0.28686831596823614,-0.3773359651306892,,,
A_Auctions,2026-02-25,26253,26230,2026-02-20,2026-03-04,64.211,63.398,-1.2661382006198263,-0.5730739765501239,,,
A_Auctions,2026-02-25,26253,26238,2026-02-20,2026-03-04,59.95,59.849,-0.16847372810676609,-0.5730739765501239,,,
A_Auctions,2026-02-25,26253,26240,2026-02-20,2026-03-04,62.994,62.646,-0.55243356510144,-0.5730739765501239,,,
A_Auctions,2026-02-25,26253,26244,2026-02-20,2026-03-04,86.448,85.828,-0.7171941513973601,-0.5730739765501239,,,
A_Auctions,2026-02-25,26253,26245,2026-02-20,2026-03-04,88.95,88.51,-0.494659921304097,-0.5730739765501239,,,
A_Auctions,2026-02-25,26253,26249,2026-02-20,2026-03-04,87.249,87.04,-0.23954429277125433,-0.5730739765501239,,,
A_Auctions,2026-02-25,26252,26230,2026-02-20,2026-03-04,64.211,63.398,-1.2661382006198263,-0.5730739765501239,,,
A_Auctions,2026-02-25,26252,26238,2026-02-20,2026-03-04,59.95,59.849,-0.16847372810676609,-0.5730739765501239,,,
A_Auctions,2026-02-25,26252,26240,2026-02-20,2026-03-04,62.994,62.646,-0.55243356510144,-0.5730739765501239,,,
A_Auctions,2026-02-25,26252,26244,2026-02-20,2026-03-04,86.448,85.828,-0.7171941513973601,-0.5730739765501239,,,
A_Auctions,2026-02-25,26252,26245,2026-02-20,2026-03-04,88.95,88.51,-0.494659921304097,-0.5730739765501239,,,
A_Auctions,2026-02-25,26252,26249,2026-02-20,2026-03-04,87.249,87.04,-0.23954429277125433,-0.5730739765501239,,,
A_Auctions,2026-03-04,26246,26230,2026-03-02,2026-03-11,63.696,63.202,-0.7755589047977907,-0.20887321809898163,,,
A_Auctions,2026-03-04,26246,26238,2026-03-02,2026-03-11,60.002,59.9,-0.1699943335222276,-0.20887321809898163,,,
A_Auctions,2026-03-04,26246,26240,2026-03-02,2026-03-11,62.85,62.56,-0.46141607000795837,-0.20887321809898163,,,
A_Auctions,2026-03-04,26246,26244,2026-03-02,2026-03-11,85.899,85.869,-0.03492473719135525,-0.20887321809898163,,,
